t_h,cond
0.0000,1.3307
0.0667,1.1890
0.1334,1.2077
0.2000,1.2490
0.2667,1.3327
0.3334,1.4655
0.4001,1.6191
0.4668,1.7933
0.5334,1.9685
0.6034,2.1466
0.6701,2.3110
0.7368,2.4675
0.8035,2.6201
0.8702,2.7716
0.9368,2.9222
1.0035,3.0699
1.0702,3.2155
1.1369,3.3641
1.2035,3.5108
1.2702,3.6535
1.3369,3.7943
1.4036,3.9360
1.4703,4.0767
1.5369,4.2175
1.6036,4.3543
1.6736,4.5010
1.7403,4.6397
1.8070,4.7785
1.8736,4.9173
1.9403,5.0570
2.0070,5.1968
2.0737,5.3356
2.1404,5.4754
2.2070,5.6112
2.2737,5.7450
2.3404,5.8809
2.4071,6.0206
2.4737,6.1555
2.5404,6.2883
2.6071,6.4271
2.6738,6.5629
2.7404,6.6938
2.8105,6.8435
2.8771,6.9803
2.9438,7.1230
3.0105,7.2696
3.0772,7.4192
3.1438,7.5669
3.2105,7.7224
3.2772,7.8887
3.3439,8.0600
3.4105,8.2362
3.4772,8.4202
3.5439,8.6072
3.6106,8.8041
3.6772,9.0157
3.7439,9.2342
3.8106,9.4743
3.8773,9.7293
3.9473,10.0147
4.0140,10.3080
4.0806,10.6289
4.1473,10.9714
4.2140,11.3483
4.2807,11.7666
4.3473,12.2233
4.4140,12.7342
4.4807,13.3011
4.5474,13.9359
4.6141,14.6357
4.6807,15.4034
4.7474,16.2469
4.8141,17.1702
4.8808,18.1603
4.9474,19.2144
5.0174,20.3985
5.0841,21.5894
5.1508,22.8335
5.2175,24.1229
5.2842,25.4260
5.3508,26.7921
5.4175,28.1937
5.4842,29.6474
5.5509,31.1356
5.6175,32.6622
5.6842,34.2183
5.7509,35.8058
5.8176,37.4249
5.8842,39.0637
5.9509,40.7310
6.0176,42.4141
6.0843,44.1138
6.1543,45.9140
6.2210,47.6365
6.2876,49.3746
6.3543,51.1227
6.4210,52.8894
6.4877,54.6551
6.5543,56.4307
6.6210,58.2063
6.6877,59.9897
6.7544,61.7535
6.8211,63.5379
6.8877,65.3115
6.9544,67.0861
7.0211,68.8637
7.0878,70.6393
7.1544,72.3981
7.2245,74.2121
7.2911,75.9611
7.3578,77.7238
7.4245,79.4610
7.4912,81.1884
7.5578,82.9295
7.6245,84.6500
7.6912,86.3704
7.7579,88.0781
7.8246,89.7897
7.8912,91.4875
7.9579,93.1725
8.0246,94.8438
8.0913,96.5298
8.1579,98.1892
8.2246,99.8438
8.2913,101.4943
8.3613,103.2020
8.4280,104.8221
8.4947,106.4520
8.5613,108.0730
8.6280,109.6734
8.6947,111.2492
8.7614,112.8378
8.8280,114.4244
8.8947,115.9824
8.9614,117.5119
9.0281,119.0611
9.0948,120.5818
9.1614,122.0985
9.2281,123.6005
9.2948,125.0857
9.3615,126.5591
9.4281,128.0069
9.4982,129.5463
9.5648,130.9931
9.6315,132.4361
9.6982,133.8337
9.7649,135.2362
9.8315,136.6171
9.8982,138.0138
9.9649,139.3730
10.0316,140.7421
10.0983,142.0964
10.1649,143.4507
10.2316,144.7932
10.2983,146.1200
10.3650,147.4399
10.4316,148.7322
10.4983,150.0186
10.5683,151.3385
10.6350,152.5885
10.7017,153.8286
10.7684,155.0609
10.8350,156.3079
10.9017,157.5136
10.9684,158.7429
11.0351,159.9565
11.1017,161.1671
11.1684,162.3354
11.2351,163.5303
11.3018,164.6888
11.3685,165.8521
11.4351,167.0027
11.5018,168.1602
11.5685,169.3127
11.6352,170.4476
11.7052,171.6080
11.7719,172.7045
11.8385,173.7979
11.9052,174.8786
11.9719,175.9692
12.0386,177.0233
12.1052,178.1109
12.1719,179.1217
12.2386,180.1670
12.3053,181.1837
12.3719,182.2290
12.4386,183.2733
12.5053,184.2900
12.5720,185.3008
12.6387,186.3126
12.7053,187.3333
12.7720,188.3225
12.8420,189.3608
12.9087,190.3490
12.9754,191.3273
13.0421,192.2949
13.1087,193.2358
13.1754,194.1777
13.2421,195.1157
13.3088,196.0576
13.3754,196.9986
13.4421,197.9218
13.5088,198.8362
13.5755,199.7210
13.6422,200.6314
13.7088,201.5241
13.7755,202.4080
13.8422,203.2938
13.9122,204.2101
13.9789,205.1146
14.0455,205.9936
14.1122,206.8804
14.1789,207.7554
14.2456,208.6058
14.3123,209.4621
14.3789,210.3223
14.4456,211.1471
14.5123,211.9729
14.5790,212.8085
14.6456,213.6146
14.7123,214.3990
14.7790,215.2258
14.8457,215.9679
14.9124,216.7789
14.9790,217.5988
15.0490,218.4216
15.1157,219.1451
15.1824,219.9403
15.2491,220.7366
15.3158,221.5397
15.3824,222.3350
15.4491,223.1076
15.5158,223.8842
15.5825,224.6352
15.6491,225.3793
15.7158,226.0899
15.7825,226.8507
15.8492,227.5869
15.9158,228.2887
15.9825,229.0082
16.0492,229.7621
16.1192,230.5013
16.1859,231.2375
16.2526,231.9747
16.3192,232.6991
16.3859,233.4018
16.4526,234.0662
16.5193,234.7434
16.5860,235.4402
16.6526,236.1311
16.7193,236.8516
16.7860,237.5593
16.8527,238.2620
16.9193,238.9609
16.9860,239.6577
17.0527,240.3545
17.1194,241.0307
17.1860,241.7128
17.2561,242.3801
17.3227,243.0278
17.3894,243.6911
17.4561,244.3319
17.5228,244.9834
17.5894,245.6419
17.6561,246.3151
17.7228,246.9834
17.7895,247.6143
17.8562,248.2255
17.9228,248.8033
17.9895,249.4480
18.0562,250.0818
18.1229,250.6832
18.1895,251.2993
18.2562,251.9214
18.3229,252.5208
18.3929,253.1635
18.4596,253.7580
18.5263,254.3682
18.5929,254.9834
18.6596,255.5808
18.7263,256.1468
18.7930,256.7176
18.8596,257.3072
18.9263,257.9184
18.9930,258.4991
19.0597,259.1064
19.1264,259.7068
19.1930,260.2875
19.2597,260.8337
19.3264,261.4243
19.3931,261.9872
19.4631,262.5601
19.5298,263.1359
19.5964,263.7176
19.6631,264.3012
19.7298,264.7412
19.7965,265.3268
19.8631,265.8829
19.9298,266.4144
19.9965,266.9282
